State,ssvf_award_total,Number of CoCs,Homeless Veterans,Sheltered Total Homeless Veterans,Unsheltered Homeless Veterans,Year,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients **,Sheltered ES Homeless Veterans,Sheltered TH Homeless Veterans,Sheltered SH Homeless Veterans
Louisiana,5894269.0,9.0,437,332,105,2014,330144.97628509765,2540465.522435869,1211754.0950000002,260203.80271000002,146467.877,0.0,26158.437830000003,20187.183468000007,875694.1264278691,88621,106,223,3
Maine,1656015.0,2.0,152,138,14,2014,127234.18339337333,959396.3235847844,541753.9970000001,125.6473,45923.856,0.0,18616.08462,8732.517575999998,344244.2210887844,39859,82,56,0
Maryland,5185543.0,16.0,654,555,99,2014,437762.3053390767,2688110.662781502,1228853.9980000001,5298.65628,364341.76599999995,0.0,23588.97199,38630.35526399999,1027396.9152475019,82383,246,307,2
Massachusetts,7065517.0,18.0,1264,1234,30,2014,379772.06566592125,2593152.302616003,1159009.484,5711.88662,209260.86500000002,0.0,29524.162239999998,43491.346631999986,1146154.558124003,83926,311,901,22
Michigan,8830141.0,21.0,1122,994,128,2014,658469.4170912238,3753562.591925713,1983450.7419999994,17517.09866,232513.54400000002,0.0,52983.46177,46115.74067999996,1420982.0048157135,150215,372,609,13
Minnesota,1614850.0,10.0,317,263,54,2014,369148.7771733957,2564645.958545097,1146384.3720000002,16225.232890000001,151587.14700000006,0.0,83321.75416,30814.698707999978,1136312.7537870966,115827,137,126,0
Mississippi,3862668.0,3.0,279,221,58,2014,220388.66833940873,1657041.8942392177,776678.64,36478.12458,100466.58300000001,0.0,30094.45052,14544.217512,698779.8786272178,69754,64,157,0
Missouri,3697246.0,8.0,652,563,89,2014,494346.16591686924,3440223.047177146,1651755.2000000004,79827.88282999999,209426.14800000004,0.0,154454.81028999996,32728.038839999972,1312030.9672171462,139929,259,297,7
Montana,707000.0,1.0,256,94,162,2014,99646.23784692113,731755.4271711042,335093.07200000004,250.45382999999998,42165.91800000001,0.0,8087.66422,7950.268415999998,338208.0507051042,35966,50,44,0
Nebraska,525538.0,3.0,241,224,17,2014,143375.08190098795,1136145.9094279378,557740.503,9146.60864,70253.853,0.0,36826.54247,13011.563376,449166.8389419377,47352,89,135,0
Nevada,4521771.0,3.0,1036,546,490,2014,228027.40022139036,1780650.7013737396,776442.583,50831.260180000005,108907.64199999999,0.0,12870.00171,13405.879679999996,818193.3348037398,69464,190,355,1
New Hampshire,1270337.0,3.0,171,162,9,2014,113660.333168137,674052.2660719638,311022.39400000003,3743.91589,58392.255000000005,0.0,5999.784330000001,8978.741892000002,285915.17495996377,28969,65,96,1
New Jersey,11678705.0,17.0,630,554,76,2014,428395.72117787134,2115577.7313856855,1047058.0789999999,555.2908500000001,214107.553,0.0,18716.38925,51044.73278400001,784095.6865016853,77128,265,286,3
New Mexico,1979092.0,2.0,318,258,60,2014,171528.26872206002,1450001.7252371837,794229.3859999998,11766.8978,79524.27999999998,0.0,12853.83413,11087.489207999999,540539.838099184,51702,149,109,0
New York,24165223.0,29.0,2542,2085,457,2014,892221.2428559066,6123810.299643138,2396837.2660000003,30504.09224,548239.6730000002,0.0,124442.38127000004,92820.60215999995,2930966.284973138,230159,754,1273,58
North Carolina,5994939.0,12.0,1164,982,182,2014,775020.2503049674,5949872.754603125,3328183.4050000007,8404.88773,478939.07099999994,0.0,93726.47584999999,53403.36201600002,1987215.5530071242,214278,458,524,0
